maxRunLength,codebook,numBits,numBitErrors
146,filep_01_1000_codebook.pickle,720,0
146,geometric_codebook.pickle,830,0
147,filep_01_1000_codebook.pickle,730,0
147,geometric_codebook.pickle,830,0
148,filep_01_1000_codebook.pickle,721,0
148,geometric_codebook.pickle,829,0
149,filep_01_1000_codebook.pickle,725,0
149,geometric_codebook.pickle,830,0
150,filep_01_1000_codebook.pickle,728,0
150,geometric_codebook.pickle,830,0
151,filep_01_1000_codebook.pickle,727,0
151,geometric_codebook.pickle,829,0
152,filep_01_1000_codebook.pickle,731,0
152,geometric_codebook.pickle,831,0
153,filep_01_1000_codebook.pickle,724,0
153,geometric_codebook.pickle,831,0
154,filep_01_1000_codebook.pickle,729,0
154,geometric_codebook.pickle,832,0
155,filep_01_1000_codebook.pickle,733,0
155,geometric_codebook.pickle,832,0
156,filep_01_1000_codebook.pickle,719,0
156,geometric_codebook.pickle,833,0
157,filep_01_1000_codebook.pickle,726,0
157,geometric_codebook.pickle,833,0
158,filep_01_1000_codebook.pickle,727,0
158,geometric_codebook.pickle,832,0
159,filep_01_1000_codebook.pickle,719,0
159,geometric_codebook.pickle,832,0
160,filep_01_1000_codebook.pickle,714,0
160,geometric_codebook.pickle,831,0
161,filep_01_1000_codebook.pickle,723,0
161,geometric_codebook.pickle,831,0
162,filep_01_1000_codebook.pickle,717,0
162,geometric_codebook.pickle,831,0
163,filep_01_1000_codebook.pickle,727,0
163,geometric_codebook.pickle,831,0
164,filep_01_1000_codebook.pickle,720,0
164,geometric_codebook.pickle,830,0
165,filep_01_1000_codebook.pickle,721,0
165,geometric_codebook.pickle,830,0
166,filep_01_1000_codebook.pickle,713,0
166,geometric_codebook.pickle,830,0
167,filep_01_1000_codebook.pickle,719,0
167,geometric_codebook.pickle,829,0
168,filep_01_1000_codebook.pickle,718,0
168,geometric_codebook.pickle,830,0
169,filep_01_1000_codebook.pickle,722,0
169,geometric_codebook.pickle,830,0
170,filep_01_1000_codebook.pickle,718,0
170,geometric_codebook.pickle,829,0
171,filep_01_1000_codebook.pickle,715,0
171,geometric_codebook.pickle,832,0
172,filep_01_1000_codebook.pickle,713,0
172,geometric_codebook.pickle,831,0
173,filep_01_1000_codebook.pickle,713,0
173,geometric_codebook.pickle,831,0
174,filep_01_1000_codebook.pickle,712,0
174,geometric_codebook.pickle,831,0
175,filep_01_1000_codebook.pickle,709,0
175,geometric_codebook.pickle,831,0
176,filep_01_1000_codebook.pickle,711,0
176,geometric_codebook.pickle,831,0
177,filep_01_1000_codebook.pickle,711,0
177,geometric_codebook.pickle,832,0
178,filep_01_1000_codebook.pickle,699,0
178,geometric_codebook.pickle,832,0
179,filep_01_1000_codebook.pickle,708,0
179,geometric_codebook.pickle,832,0
180,filep_01_1000_codebook.pickle,701,0
180,geometric_codebook.pickle,831,0
